圖名,pointName,等級,圖號,標石號碼,標石種類,LongitudeDeg,LongitudeMin,LongitudeSec,LatitudeDeg,LatitudeMin,LatitudeSec,高程_m,橫坐標_67坐標系統,縱坐標_67坐標系統
澎湖,紗帽山,1,,,花崗石,119,33,39.3082 ,23,31,51.1251 ,44.660 ,307270 ,2603190
澎湖,龜山,1,,內補065,花崗石,119,30,21.5670 ,23,34,0.8629 ,55.872 ,301650 ,2607160 
澎湖,虎頭山,1,,2陸補018,觀音石,119,38,43.8130 ,23,36,34.7880 ,29.470 ,315870 ,2611950 
澎湖,上瓦胴,1,,2內補,花崗石,119,35,3.1969 ,23,39,25.0469 ,31.900 ,309590 ,2617160 
琉球嶼,琉球嶼,1,9417-I,,花崗石,120,22,14.4605 ,22,20,33.7803 ,87.139 ,185170 ,2471640 
旗山,中寮山,1,9418-I,,花崗石,120,25,27.8032 ,22,49,54.6983 ,420.524 ,190910 ,2525780 
高雄市,鳳山,1,9418-II,,花岡石,120,22,25.2088 ,22,31,54.8351 ,140.491 ,185570 ,2492590 
高雄市,高雄山,1,9418-II,內補0006,花崗石,120,15,30.3981 ,22,38,42.1026 ,354.701 ,173780 ,2505170 
台南市,魁斗山,1,9418-IV,內補0004,花崗石,120,13,51.7648 ,22,58,30.9019 ,28.063 ,171150 ,2541750 
新化,北嶺山,1,9419-II,,花崗石,120,24,36.9829 ,23,6,20.4102 ,294.070 ,189590 ,2556110 
佳里,番庄,1,9419-III,,花崗石,120,9,21.8902 ,23,10,36.7080 ,18.635 ,163590 ,2564120 
朴子,前東港,1,9419-VI,,花崗石,120,10,50.3130 ,23,23,3.2306 ,10.664 ,166240 ,2587070 
西螺,?兒干,1,9420-I,,花崗石,120,18,4.3128 ,23,47,56.8273 ,19.575 ,178790 ,2632960 
西螺,浸水,1,9420-I,,花崗石,120,25,28.1389 ,23,59,4.7634 ,12.967 ,191430 ,2653450 
北港,松子?山,1,9420-II,,花崗石,120,28,21.5272 ,23,32,15.2468 ,145.529 ,196150 ,2603910 
北港,虎尾,1,9420-II,內補0001,花崗石,120,25,32.8257 ,23,42,50.5888 ,30.176 ,191440 ,2623480 
臺西,蔡厝莊,1,9420-III,內補0002,花崗石,120,12,30.9152 ,23,36,3.8673 ,9.599 ,169230 ,2611070 
鵝鑾鼻,大山母山,1,9516-I,,花崗石,120,46,15.2086 ,21,58,12.5953 ,325.030 ,226330 ,2430270 
大武,加奈美山,1,9517-I,,花崗石,120,54,7.1475 ,22,26,2.2302 ,780.773 ,239910 ,2481610 
滿州,埤亦山,1,9517-II,,花崗石,120,52,23.8539 ,22,4,25.9313 ,362.875 ,236920 ,2441740 
恒春,里龍山,1,9517-III,,花崗石,120,43,29.2787 ,22,9,56.2656 ,1061.875 ,221610 ,2451920 
枋寮,塭子,1,9517-IV,,花崗石,120,31,36.9181 ,22,24,20.9152 ,6.816 ,201290 ,2478570 
枋寮,大漢山,1,9517-IV,內補0028,花崗石,120,44,34.9276 ,22,24,35.0278 ,1687.758 ,223540 ,2478950 
美奈田主山,美奈田主山,1,9518-I,,花崗石,120,59,37.8312 ,22,58,42.6897 ,2931.209 ,249360 ,2541910 
太麻里,北大武山,1,9518-II,,花崗石,120,45,12.0347 ,22,37,43.8162 ,3091.968 ,224640 ,2503210 
太麻里,太麻里山,1,9518-II,,花崗石,120,56,39.9196 ,22,38,41.6350 ,1389.926 ,244280 ,2504970 
玉山,新望嶺,1,9519-I,,花崗石,120,46,27.5891 ,23,17,46.7849 ,2481.313 ,226910 ,2577120 
玉山,新高山(玉山),1,9519-I,,花崗石,120,56,56.9728 ,23,28,18.3907 ,3952.382 ,244800 ,2596530 
卑南主山,卑南主山,1,9519-II,,花崗石,120,51,58.0066 ,23,3,10.6200 ,3294.585 ,236280 ,2550160 
