圖名,點名,等級,圖號,標石號碼,標石種類,經度-度,分,秒,緯度-度,分,秒,高程_m,橫坐標_67坐標系統,縱坐標_67坐標系統
澎湖,東山,2,,870,花崗石,119,32,0.3026,23,29,46.5846,61.446,304480,2599340
澎湖,鎖管港,2,,內補060,花崗石,119,35,38.1085,23,31,3.8498,17.568,310650,2601740
澎湖,大城北,2,,內補061,花崗石,119,36,20.9270,23,33,45.2949,55.832,311840,2606720
澎湖,西衛,2,,內補062,花崗石,119,33,57.1231,23,34,49.0228,21.085,307750,2608660
琉球嶼,東港,2,9417-I,內補011,銅標,120,26,41.0089,22,28,1.3446,19.612,192850,2485380
旗山,生仙坑山,2,9418-I,600,花崗石,120,24,42.6228,22,45,18.3683,258.819,189590,2517290
旗山,滾水山,2,9418-I,內補041,花崗石,120,19,41.0772,22,46,14.7842,36.878,181000,2519060
旗山,大崗山,2,9418-I,499,觀音石,120,20,12.9527,22,50,34.7821,309.960,181940,2527050
旗山,旗尾,2,9418-I,491,花崗石,120,29,20.5010,22,52,27.8968,41.445,197570,2530470
旗山,擔橫山,2,9418-I,內補049,花崗石,120,27,33.2762,22,53,35.3517,215.324,194520,2532560
旗山,火焰山,2,9418-I,500,花崗石,120,22,7.7019,22,54,12.0515,132.241,185240,2533720
旗山,龍船,2,9418-I,1101,花崗石,120,25,26.7594,22,57,13.9774,351.650,190940,2539300
旗山,過坑子,2,9418-I,內補43,花崗石,120,18,36.0255,22,58,5.2896,71.112,179240,2540920
高雄市,崁頂,2,9418-II,內補044,花崗石,120,29,56.2104,22,30,8.4730,4.864,198440,2489270
高雄市,中洲,2,9418-II,內補070,銅標,120,17,28.4538,22,34,37.9970,10.421,177110,2497650
高雄市,鳳梨山,2,9418-II,530,花崗石,120,23,10.2764,22,41,53.3257,167.790,186930,2510990
高雄市,半屏山,2,9418-II,陸補80,水泥柱,120,18,11.7790,22,42,3.2989,232.951,178410,2511340
台南市,潭底山,2,9418-IV,內補042,花崗石,120,14,40.6443,22,46,18.6120,48.264,172430,2519220
台南市,管府山,2,9418-IV,內補068,銅標,120,12,52.4422,22,49,9.3429,17.104,169370,2524490
台南市,前荷,2,9418-IV,512,花崗石,120,14,54.6745,22,53,12.9186,24.055,172890,2531960
台南市,白沙崙,2,9418-IV,內補069,銅標,120,10,39.7465,22,55,3.0867,17.745,165650,2535390
台南市,F1,2,9418-IV,內導912,銅標,120,13,5.2593,22,55,20.0441,18.940,169800,2535890
嘉義,柳營,2,9419-I,424,花崗石,120,17,42.1315,23,16,50.6998,11.734,177880,2575550
嘉義,牛山,2,9419-I,416,花崗石,120,24,27.7413,23,17,7.7342,212.175,189410,2576020
嘉義,新港東,2,9419-I,445,花崗石,120,18,35.6572,23,20,43.1532,14.857,179430,2582700
嘉義,上茄苳,2,9419-I,1148,花崗石,120,22,15.1458,23,23,46.8394,38.729,185690,2588320
嘉義,牛稠埔,2,9419-I,453,花崗石,120,28,25.8781,23,24,30.1748,201.048,196220,2589610
嘉義,新莊,2,9419-I,405,花崗石,120,16,2.4354,23,25,10.4508,16.775,175120,2590940
嘉義,紅毛埤,2,9419-I,1096,花崗石,120,29,1.8840,23,28,54.3353,149.820,197270,2597730
嘉義,蒜頭,2,9419-I,1122,花崗石,120,17,17.2083,23,29,1.3042,10.019,177280,2598030
新化,內庄山,2,9419-II,內補050,花崗石,120,25,30.2299,23,2,9.8755,130.657,191070,2548400
新化,洋子寮,2,9419-II,509,花崗石,120,20,49.9952,23,3,31.8291,103.318,183100,2550950
新化,善化,2,9419-II,1091,花崗石,120,17,15.7841,23,7,19.2165,10.812,177040,2557980
新化,大崖山,2,9419-II,內補048,花崗石,120,26,16.6688,23,10,25.5905,410.680,192450,2563640
新化,川文山,2,9419-II,636,花崗石,120,18,53.8704,23,10,44.2445,40.433,179860,2564270
新化,六甲,2,9419-II,1088,花崗石,120,21,33.2837,23,13,36.2958,87.501,184420,2569540
新化,二尖山,2,9419-II,363,花崗石,120,29,18.0213,23,14,58.1103,863.978,197640,2572000
佳里,永康,2,9419-III,內補044,花崗石,120,14,3.9369,23,0,59.3995,29.589,171520,2546320
佳里,土城子,2,9419-III,592,花崗石,120,7,37.7097,23,4,5.6296,3.677,160560,2552110
佳里,西港,2,9419-III,1092,花崗石,120,12,12.1379,23,7,14.8295,6.001,168400,2557880
佳里,三股子,2,9419-III,580,花崗石,120,6,4.0669,23,7,22.0121,2.889,157930,2558170
佳里,大屯寮,2,9419-III,1089,花崗石,120,14,8.9448,23,14,9.4219,5.273,171790,2570620
朴子,北門,2,9419-VI,350,花崗石,120,7,2.0268,23,15,42.4144,6.579,159670,2573550
朴子,頂溪洲,2,9419-VI,內補046,花崗石,120,11,5.9695,23,17,38.8020,6.929,166630,2577090
朴子,頂東石,2,9419-VI,1184,花崗石,120,8,50.1270,23,28,16.7971,2.657,162880,2596740
西螺,羅厝,2,9420-I,,花崗石,120,22,7.0352,23,45,35.9734,21.109,185640,2628590
西螺,新庄子,2,9420-I,1061,花崗石,120,24,32.6917,23,49,7.3568,34.744,189790,2635080
西螺,溪洲,2,9420-I,內補218,銅標,120,29,12.7319,23,51,10.9551,49.975,197730,2638850
西螺,西港,2,9420-I,內補071,花崗石,120,17,0.4971,23,52,16.7051,16.967,177020,2640960
西螺,丈八斗,2,9420-I,1170,花崗石,120,24,57.5411,23,53,39.5819,23.824,190530,2643450
西螺,王功,2,9420-I,284,花崗石,120,19,36.6883,23,57,19.2256,6.032,181480,2650240
西螺,圓子內,2,9420-I,內補010,銅標,120,28,59.3949,23,59,53.6014,23.350,197410,2654930
北港,牛斗山,2,9420-II,1158,花崗石,120,23,9.4235,23,30,58.6481,26.558,187290,2601590
北港,蘇厝寮,2,9420-II,內補077,花崗石,120,17,7.8013,23,33,30.6765,14.008,177050,2606320
北港,柴林脚,2,9420-II,內補075,花崗石,120,21,14.8282,23,35,51.7917,17.266,184080,2610630
北港,大林,2,9420-II,陸補109,花崗石,120,26,41.0593,23,36,18.8756,50.535,193330,2611420
北港,阿丹,2,9420-II,1049,花崗石,120,29,36.1941,23,39,44.7941,45.088,198320,2617740
北港,後湖,2,9420-II,內補074,花崗石,120,19,7.6073,23,41,0.0681,29.947,180520,2620130
北港,昌南,2,9420-II,1033,花崗石,120,15,8.5314,23,41,56.5500,17.042,173750,2621900
臺西,溪子下,2,9420-III,內補078,花崗石,120,10,56.3972,23,30,3.1490,2.194,166480,2599990
臺西,牛尿港,2,9420-III,1128,花崗石,120,7,58.3190,23,33,43.9793,7.490,161470,2606810
臺西,飛沙,2,9420-III,內補084,花崗石,120,10,48.8018,23,39,2.5563,11.885,166360,2616590
麥寮,蚊港,2,9420-IV,1059,花崗石,120,13,8.0708,23,45,9.5081,18.104,170370,2627850
鹿港,福興,2,9421-II,內補009,銅標,120,25,20.8459,24,3,6.3035,21.179,191260,2660880
鹿港,馬鳴山,2,9421-II,1161,花崗石,120,29,42.9315,24,3,19.9676,9.837,198660,2661270
鹿港,泉州厝,2,9421-II,1153,花崗石,120,28,30.9354,24,9,15.3247,10.499,196670,2672210
鵝鑾鼻,埔頂,2,9516-I,1164,花崗石,120,50,27.2625,21,55,39.6521,119.189,233560,2425560
大武,佳菩安山,2,9517-I,1171,花崗石,120,46,11.9198,22,18,37.6513,1083.889,226300,2467950
大武,巴塱衛山,2,9517-I,1177,花崗石,120,52,15.0254,22,19,27.6444,325.486,236690,2469480
大武,茶茶牙頓山,2,9517-I,4248,花崗石,120,45,34.3857,22,20,56.2642,1325.949,225230,2472220
大武,出水坡,2,9517-I,內補079,花崗石,120,49,1.6254,22,22,43.2796,655.191,231160,2475500
大武,姑子崙山,2,9517-I,4255,花崗石,120,46,51.9540,22,25,12.2185,1630.684,227460,2480090
大武,杜鴉原山,2,9517-I,1195,花崗石,120,50,31.1045,22,28,51.8426,1236.950,233730,2486830
大武,太里力山,2,9517-I,1561,花崗石,120,47,12.0330,22,29,45.4259,1929.204,228050,2488490
滿州,猪老東山,2,9517-II,1172,花崗石,120,50,53.4331,22,0,46.1353,410.451,234320,2434990
滿州,老佛山,2,9517-II,1176,花崗石,120,47,2.4870,22,2,26.8125,674.264,227700,2438090
滿州,高士佛山,2,9517-II,857,花崗石,120,48,22.0379,22,8,5.3028,514.478,230000,2448500
滿州,太和山,2,9517-II,938,花崗石,120,51,2.4704,22,14,27.3596,487.445,234600,2460240
恒春,太平頂,2,9517-III,1163,花崗石,120,41,25.1880,22,0,42.3467,190.047,218020,2434900
枋寮,竹坑山,2,9517-IV,1175,花崗石,120,40,45.6468,22,15,3.0029,519.006,216950,2461370
枋寮,坪埔厝山,2,9517-IV,188,花崗石,120,38,30.4531,22,20,15.0817,532.327,213100,2470980
枋寮,保和以山,2,9517-IV,1106,花崗石,120,38,27.0762,22,27,16.5799,684.703,213030,2483940
枋寮,久保山,2,9517-IV,,花崗石,120,40,47.2548,22,29,37.7472,1506.410,217050,2488270
美奈田主山,大浦山,2,9518-I,1657,花崗石,120,53,56.2978,22,46,37.5213,2377.657,239620,2519610
美奈田主山,盆盆山,2,9518-I,1658,花崗石,120,58,57.6944,22,50,8.3082,1864.572,248220,2526090
美奈田主山,遙拜山,2,9518-I,1662,花崗石,120,50,46.5712,22,51,57.7996,2415.009,234220,2529460
美奈田主山,平野山,2,9518-I,1660,花崗石,120,53,34.9347,22,53,22.2032,2215.618,239020,2532060
美奈田主山,屯子山,2,9518-I,1656,花崗石,120,45,10.1671,22,54,44.5852,1822.605,224640,2534610
美奈田主山,出雲山,2,9518-I,1565,花崗石,120,49,15.8939,22,58,38.1785,2772.335,231650,2541780
太麻里,大武來山,2,9518-II,1194,花崗石,120,56,51.1809,22,34,17.8308,924.070,244600,2496850
太麻里,唐太蘭山,2,9518-II,1562,花崗石,120,52,34.1364,22,37,27.9355,1452.828,237260,2502700
太麻里,霧頭山,2,9518-II,1559,花崗石,120,46,43.0564,22,41,41.3768,2735.593,227250,2510510
太麻里,知本主山,2,9518-II,1560,花崗石,120,52,20.7808,22,43,38.8940,2229.955,236890,2514110
內埔,北勢廍,2,9518-III,838,花崗石,120,32,46.3049,22,33,36.1863,16.511,203320,2495640
內埔,南太武山,2,9518-III,1557,花崗石,120,44,25.7390,22,34,27.3598,2840.682,223310,2497170
內埔,萬金山,2,9518-III,337,花崗石,120,37,17.6999,22,36,33.5167,241.776,211090,2501070
內埔,真笠山,2,9518-III,1558,花崗石,120,39,31.6725,22,40,17.5784,1166.151,214930,2507960
內埔,竹葉,2,9518-III,942,花崗石,120,32,55.5399,22,42,3.8730,55.487,203640,2511260
